version	nome	arquivo	md5	bytes	data_utc	tipo	revertida_por	nota
20260911204433	crons_sob_carga_portao_jsonb	20260911204433__crons_sob_carga_portao_jsonb.sql	a27decb4bce9efff4b46210dcf0805da	1080	2026-09-11 20:44:33	ESTRUTURAL	-	portao sistema_sob_carga comparava jsonb com boolean: 3 jobs nunca executaram
20260911205217	backup_fn_casos_reabrir_com_divida_antes_conserto3	20260911205217__backup_fn_casos_reabrir_com_divida_antes_conserto3.sql	e286c4414a1a668a8e2873972673bbfc	403	2026-09-11 20:52:17	ESTRUTURAL	-	cria _backup_fn_casos_reabrir_com_divida_20260912; 223837 depende dela
20260911205305	caso_faltando_para_aluno_com_divida	20260911205305__caso_faltando_para_aluno_com_divida.sql	43165eb0e7a754039364f8286db20d86	9154	2026-09-11 20:53:05	ESTRUTURAL_REVERTIDA	20260911223837	CONSERTO 3; ver 20260911205305__INCIDENTE-513-FICHAS.md; NUNCA na trilha executavel
20260911223837	fase1_pausa_escritas_automaticas_aguardando_aprovacao	20260911223837__fase1_pausa_escritas_automaticas_aguardando_aprovacao.sql	d1a9a65fb34beb1d2981bedf701f894f	1076	2026-09-11 22:38:37	ESTRUTURAL	-	restaura casos_reabrir_com_divida do backup e desarma os 2 jobs financeiros; reverteu 20260911205305
20260911223954	fase1_executa_vigia_invariantes_manual	-	a2d7003d72c2f14181dc44b0a9cb18bf	190	2026-09-11 22:39:54	EXECUCAO_PONTUAL	-	rodada manual do vigia; sem arquivo de proposito
20260911230958	vigia_cinco_invariantes_cegos	20260911230958__vigia_cinco_invariantes_cegos.sql	9d7818da64dd04bc7b140f67b61b9e08	14217	2026-09-11 23:09:58	ESTRUTURAL	-	ver 20260911230958__NOTA.md
20260911231006	fase1_executa_vigia_apos_cinco_invariantes	-	20886033d77cefa2951801dcf96cc323	34	2026-09-11 23:10:06	EXECUCAO_PONTUAL	-	rodada do vigia apos os 5 invariantes
20260911231124	fluxo_acordos_ensaio_sem_escrita	20260911231124__fluxo_acordos_ensaio_sem_escrita.sql	2f89c8d0f8fab78b8cdde8c51b355b48	9248	2026-09-11 23:11:24	ESTRUTURAL	-	modo ensaio do fluxo de acordos
20260911231154	fase1_captura_resultado_do_ensaio	-	5a26256ea290048ef4c59ffc792f89c2	566	2026-09-11 23:11:54	EXECUCAO_PONTUAL	-	captura do resultado do ensaio
20260911231238	fase1_prova_dryrun_isolada_em_subtransacao	-	7417cf5fe1cca8cbb3c3526499396414	1568	2026-09-11 23:12:38	EXECUCAO_PONTUAL	-	prova de que o dry-run nao escreve, em subtransacao read only
20260911231349	pagamento_suspeita_duplicidade_estrutura	20260911231349__pagamento_suspeita_duplicidade_estrutura.sql	212cd64987ad37c2e97823c098de55ae	7164	2026-09-11 23:13:49	ESTRUTURAL	-	estrutura de suspeita de duplicidade; consolidada depois em 20260912121605
20260911231510	bordero_fila_caso_faltando_opcao_b	20260911231510__bordero_fila_caso_faltando_opcao_b.sql	4f433527fac1ab23c63ddccde162c564	10500	2026-09-11 23:15:10	ESTRUTURAL	-	opcao B do bordero, criada com enabled=false por decisao da gestao
20260911233508	excecao_conciliacao_nao_acionar_3_casos	20260911233508__excecao_conciliacao_nao_acionar_3_casos.sql	574b2784663d035adfef25e4ddb3273b	9119	2026-09-11 23:35:08	CORRECAO_DADO	-	nao_acionar=true nos casos 17138/17148/17155; backup _backup_excecao_conciliacao_20260912; rollback preparado em aguardando_aprovacao
20260912000238	fase2a_fluxo_acordos_assinatura_unica_e_permissao	20260912000238__fase2a_fluxo_acordos_assinatura_unica_e_permissao.sql	e1d4f0897a5b2cc1edc4e01c21bd054b	10246	2026-09-12 00:02:38	ESTRUTURAL	-	remove a 2a assinatura de fluxo_acordos_rodar, recupera statement_timeout 300s e revoga EXECUTE de anon/authenticated
20260912000256	fase2a_prova_dryrun_na_assinatura_do_cron	-	f325b583f146fb94cbeb02bcc00ef0ff	2315	2026-09-12 00:02:56	EXECUCAO_PONTUAL	-	prova do dry-run na assinatura que o cron resolve
20260912000556	fase2a_sonda_prime_amostra_validacao	-	54fa15e9fe2e572337d903c692fad19a	1782	2026-09-12 00:05:56	SONDA	-	chamada HTTP a API do Prime; nao e schema
20260912000856	fase2a_sonda_prime_com_jwt	-	297f67fab4ce88f9161177fd0f37caa6	1839	2026-09-12 00:08:56	SONDA	-	prime-sonda exige Authorization Bearer; unica Edge Function do Prime com verify_jwt
20260912120756	fase2b_amostra_portador_60_matriculas	-	b19a1d7571cdf63f26303639b044a53a	2447	2026-09-12 12:07:56	SONDA	-	amostra de 60 matriculas para conferir portador no espelho vs API
